以後　　　　　　　　　　　　　　　　　　いご　　　　　　　　　　　　　　　　　　,FBY.     ,
以降　　　　　　　　　　　　　　　　　　いこう　　　　　　　　　　　　　　　　　,NB8.     ,
石　　　　　　　　　　　　　　　　　　　いし　　　　　　　　　　　　　　　　　　,NBB.     ,
以上　　　　　　　　　　　　　　　　　　いじょう　　　　　　　　　　　　　　　　,CB .     ,
いじりする　　　　　　　　　　　　　　　いじりする　　　　　　　　　　　　　　　,DB4.     ,
何れ　　　　　　　　　　　　　　　　　　いずれ　　　　　　　　　　　　　　　　　,NB1.     ,
以西　　　　　　　　　　　　　　　　　　いせい　　　　　　　　　　　　　　　　　,NB7.     ,
以前　　　　　　　　　　　　　　　　　　いぜん　　　　　　　　　　　　　　　　　,NB8.     ,
炒め　　　　　　　　　　　　　　　　　　いため　　　　　　　　　　　　　　　　　,NBB.     ,
至る所　　　　　　　　　　　　　　　　　いたるところ　　　　　　　　　　　　　　,NB7.     ,
至るところ　　　　　　　　　　　　　　　いたるところ　　　　　　　　　　　　　　,NB7.     ,
いたる所　　　　　　　　　　　　　　　　いたるところ　　　　　　　　　　　　　　,NB7.     ,
市　　　　　　　　　　　　　　　　　　　いち　　　　　　　　　　　　　　　　　　,NB7.     ,
一　　　　　　　　　　　　　　　　　　　いち　　　　　　　　　　　　　　　　　　,CB .     ,
一円　　　　　　　　　　　　　　　　　　いちえん　　　　　　　　　　　　　　　　,NB7.     ,
著しい　　　　　　　　　　　　　　　　　いちじるしい　　　　　　　　　　　　　　,KB .     ,
一代　　　　　　　　　　　　　　　　　　いちだい　　　　　　　　　　　　　　　　,CB .     ,
一同　　　　　　　　　　　　　　　　　　いちどう　　　　　　　　　　　　　　　　,NB4.     ,
一味　　　　　　　　　　　　　　　　　　いちみ　　　　　　　　　　　　　　　　　,NB4.     ,
一流　　　　　　　　　　　　　　　　　　いちりゅう　　　　　　　　　　　　　　　,CB .  P  ,
一流の　　　　　　　　　　　　　　　　　いちりゅうの　　　　　　　　　　　　　　,RB .  P  ,
一下　　　　　　　　　　　　　　　　　　いっか　　　　　　　　　　　　　　　　　,CB .     ,
一行　　　　　　　　　　　　　　　　　　いっこう　　　　　　　　　　　　　　　　,NB4.     ,
一切　　　　　　　　　　　　　　　　　　いっさい　　　　　　　　　　　　　　　　,NB1.     ,
一式　　　　　　　　　　　　　　　　　　いっしき　　　　　　　　　　　　　　　　,NBB.     ,
一色　　　　　　　　　　　　　　　　　　いっしょく　　　　　　　　　　　　　　　,CB .     ,
一斉　　　　　　　　　　　　　　　　　　いっせい　　　　　　　　　　　　　　　　,CB .     ,
一帯　　　　　　　　　　　　　　　　　　いったい　　　　　　　　　　　　　　　　,NB5.     ,
一体　　　　　　　　　　　　　　　　　　いったい　　　　　　　　　　　　　　　　,NB1.     ,
一対　　　　　　　　　　　　　　　　　　いっつい　　　　　　　　　　　　　　　　,NBB.     ,
一通　　　　　　　　　　　　　　　　　　いっつう　　　　　　　　　　　　　　　　,NBB.     ,
一点張り　　　　　　　　　　　　　　　　いってんばり　　　　　　　　　　　　　　,CB .  N  ,
一党　　　　　　　　　　　　　　　　　　いっとう　　　　　　　　　　　　　　　　,NB1.     ,
一杯　　　　　　　　　　　　　　　　　　いっぱい　　　　　　　　　　　　　　　　,NBB.     ,
一本やり　　　　　　　　　　　　　　　　いっぽんやり　　　　　　　　　　　　　　,CB .     ,
糸　　　　　　　　　　　　　　　　　　　いと　　　　　　　　　　　　　　　　　　,NBB.     ,
以東　　　　　　　　　　　　　　　　　　いとう　　　　　　　　　　　　　　　　　,NB7.     ,
以内　　　　　　　　　　　　　　　　　　いない　　　　　　　　　　　　　　　　　,NB1.     ,
以南　　　　　　　　　　　　　　　　　　いなん　　　　　　　　　　　　　　　　　,FBY.     ,
以北　　　　　　　　　　　　　　　　　　いほく　　　　　　　　　　　　　　　　　,NB7.     ,
以来　　　　　　　　　　　　　　　　　　いらい　　　　　　　　　　　　　　　　　,NB8.     ,
いらず　　　　　　　　　　　　　　　　　いらず　　　　　　　　　　　　　　　　　,CB .     ,
入り　　　　　　　　　　　　　　　　　　いり　　　　　　　　　　　　　　　　　　,CB .     ,
入れ　　　　　　　　　　　　　　　　　　いれ　　　　　　　　　　　　　　　　　　,NBB.     ,
色　　　　　　　　　　　　　　　　　　　いろ　　　　　　　　　　　　　　　　　　,NB1.     ,
色々　　　　　　　　　　　　　　　　　　いろいろ　　　　　　　　　　　　　　　　,CB .     ,
種々　　　　　　　　　　　　　　　　　　いろいろ　　　　　　　　　　　　　　　　,CB .     ,
祝い　　　　　　　　　　　　　　　　　　いわい　　　　　　　　　　　　　　　　　,NB1.     ,
曰く　　　　　　　　　　　　　　　　　　いわく　　　　　　　　　　　　　　　　　,FBY.     ,
院　　　　　　　　　　　　　　　　　　　いん　　　　　　　　　　　　　　　　　　,NB5.     ,
員　　　　　　　　　　　　　　　　　　　いん　　　　　　　　　　　　　　　　　　,NB4.     ,
印　　　　　　　　　　　　　　　　　　　いん　　　　　　　　　　　　　　　　　　,NBB.     ,
員長する　　　　　　　　　　　　　　　　いんちょうする　　　　　　　　　　　　　,DB4.     ,
雨　　　　　　　　　　　　　　　　　　　う　　　　　　　　　　　　　　　　　　　,NBB.     ,
上　　　　　　　　　　　　　　　　　　　うえ　　　　　　　　　　　　　　　　　　,CB .     ,
ウエー　　　　　　　　　　　　　　　　　うえー　　　　　　　　　　　　　　　　　,NB7.     ,
伺いする　　　　　　　　　　　　　　　　うかがいする　　　　　　　　　　　　　　,DB4.     ,
薄　　　　　　　　　　　　　　　　　　　うす　　　　　　　　　　　　　　　　　　,CB .     ,
唄　　　　　　　　　　　　　　　　　　　うた　　　　　　　　　　　　　　　　　　,NB1.     ,
打ち　　　　　　　　　　　　　　　　　　うち　　　　　　　　　　　　　　　　　　,CB .     ,
生まれ　　　　　　　　　　　　　　　　　うまれ　　　　　　　　　　　　　　　　　,CB .     ,
産まれ　　　　　　　　　　　　　　　　　うまれ　　　　　　　　　　　　　　　　　,CB .     ,
裏　　　　　　　　　　　　　　　　　　　うら　　　　　　　　　　　　　　　　　　,NB7.     ,
浦　　　　　　　　　　　　　　　　　　　うら　　　　　　　　　　　　　　　　　　,NB7.     ,
売り　　　　　　　　　　　　　　　　　　うり　　　　　　　　　　　　　　　　　　,CB .     ,
運　　　　　　　　　　　　　　　　　　　うん　　　　　　　　　　　　　　　　　　,NB1.     ,
絵　　　　　　　　　　　　　　　　　　　え　　　　　　　　　　　　　　　　　　　,NBB.     ,
駅　　　　　　　　　　　　　　　　　　　えき　　　　　　　　　　　　　　　　　　,NB7.     ,
益　　　　　　　　　　　　　　　　　　　えき　　　　　　　　　　　　　　　　　　,NB1.  P  ,
液　　　　　　　　　　　　　　　　　　　えき　　　　　　　　　　　　　　　　　　,NB7.     ,
選びする　　　　　　　　　　　　　　　　えらびする　　　　　　　　　　　　　　　,DB4.     ,
塩　　　　　　　　　　　　　　　　　　　えん　　　　　　　　　　　　　　　　　　,NBB.     ,
炎　　　　　　　　　　　　　　　　　　　えん　　　　　　　　　　　　　　　　　　,NBB.     , 
宴　　　　　　　　　　　　　　　　　　　えん　　　　　　　　　　　　　　　　　　,N C.     ,
園　　　　　　　　　　　　　　　　　　　えん　　　　　　　　　　　　　　　　　　,FBY.     ,
園中　　　　　　　　　　　　　　　　　　えんちゅう　　　　　　　　　　　　　　　,NB7.     ,
ｏｒ　　　　　　　　　　　　　　　　　　おあ　　　　　　　　　　　　　　　　　　,FBY.     ,
翁　　　　　　　　　　　　　　　　　　　おう　　　　　　　　　　　　　　　　　　,NB4.     ,
王　　　　　　　　　　　　　　　　　　　おう　　　　　　　　　　　　　　　　　　,NB4.     ,
置き　　　　　　　　　　　　　　　　　　おき　　　　　　　　　　　　　　　　　　,CB .     ,
起き　　　　　　　　　　　　　　　　　　おき　　　　　　　　　　　　　　　　　　,CB .     ,
沖　　　　　　　　　　　　　　　　　　　おき　　　　　　　　　　　　　　　　　　,NB7.     ,
送り　　　　　　　　　　　　　　　　　　おくり　　　　　　　　　　　　　　　　　,CB .     ,
遅れ　　　　　　　　　　　　　　　　　　おくれ　　　　　　　　　　　　　　　　　,CB .     ,
おこし　　　　　　　　　　　　　　　　　おこし　　　　　　　　　　　　　　　　　,CB .     ,
落ちする　　　　　　　　　　　　　　　　おちする　　　　　　　　　　　　　　　　,DB4.     ,
オフ　　　　　　　　　　　　　　　　　　おふ　　　　　　　　　　　　　　　　　　,CB .     ,
思い　　　　　　　　　　　　　　　　　　おもい　　　　　　　　　　　　　　　　　,CB .     ,
降ろし　　　　　　　　　　　　　　　　　おろし　　　　　　　　　　　　　　　　　,CB .     ,
下ろし　　　　　　　　　　　　　　　　　おろし　　　　　　　　　　　　　　　　　,NB1.     ,
卸し　　　　　　　　　　　　　　　　　　おろし　　　　　　　　　　　　　　　　　,NB4.     ,
音　　　　　　　　　　　　　　　　　　　おん　　　　　　　　　　　　　　　　　　,NB1.     ,
御中　　　　　　　　　　　　　　　　　　おんちゅう　　　　　　　　　　　　　　　,NB5.     ,
課　　　　　　　　　　　　　　　　　　　か　　　　　　　　　　　　　　　　　　　,NB5.     ,
禍　　　　　　　　　　　　　　　　　　　か　　　　　　　　　　　　　　　　　　　,NB1.     ,
歌　　　　　　　　　　　　　　　　　　　か　　　　　　　　　　　　　　　　　　　,NB1.     ,
果　　　　　　　　　　　　　　　　　　　か　　　　　　　　　　　　　　　　　　　,NBB.     ,
科　　　　　　　　　　　　　　　　　　　か　　　　　　　　　　　　　　　　　　　,NB5.     ,
家　　　　　　　　　　　　　　　　　　　か　　　　　　　　　　　　　　　　　　　,NB5.     ,
